Google Flu Trends weekly influenza activity estimates for the world
Copyright 2009 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row
Data for the current week will be updated each day until Saturday (Pacific Time)
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends)

Date,Australia,Austria,Belgium,Bulgaria,Canada,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Russia,Spain,Sweden,Switzerland,Ukraine,United States
2004-07-18,,445,12,,530,10,363,,2,634,7,,,,,8,,3,,576
2004-07-25,,512,11,,478,6,387,,2,649,6,,,,,9,,3,,587
2004-08-01,,438,11,,478,8,301,,2,618,7,,,,,8,,3,,593
2004-08-08,,455,11,,453,18,283,,2,613,6,,,,,8,,2,,599
2004-08-15,,471,9,,618,14,313,,1,558,9,,,,,8,,3,,618
2004-08-22,,450,9,,483,15,340,,2,556,8,,,,,10,,3,,676
2004-08-29,,408,9,,504,10,367,,2,661,9,,,,,9,,4,,701
2004-09-05,,443,12,,660,16,369,,2,771,12,,,,,7,,5,,810
2004-09-12,,482,18,,850,27,452,,3,810,13,,,,,8,,7,,826
2004-09-19,,587,31,,973,47,588,,3,884,18,,,,,13,,8,,898
2004-09-26,,702,53,,1213,59,740,,3,874,22,,,19,,23,,11,,922
2004-10-03,,732,64,,1157,72,858,,4,906,23,,,28,,31,,17,,1139
2004-10-10,,652,83,,1227,78,1112,,6,885,24,,,61,,34,,21,,1408
2004-10-17,,707,65,,1278,73,1089,,7,946,22,,,62,,39,,27,,1630
2004-10-24,,664,46,,1279,56,911,,12,933,21,,,57,,31,,24,,1767
2004-10-31,,660,41,,1310,74,877,,20,1079,19,,,56,,26,,30,,1804
2004-11-07,,737,48,,1222,60,989,,27,1044,21,,,56,,27,,54,,1819
2004-11-14,,808,54,,1376,66,1026,,26,1056,26,,,48,,29,,72,,1761
2004-11-21,,839,78,,1535,90,937,,29,1141,37,,,49,,27,,51,,1595
2004-11-28,,793,102,,1732,99,919,,29,1190,33,,,46,,25,,51,,1800
2004-12-05,,742,78,,1915,117,994,,32,1185,44,,,43,,33,,62,,1782
2004-12-12,,810,103,,2163,141,1033,,37,1237,46,,,44,,49,,50,,1850
2004-12-19,,807,103,,2093,269,1090,,32,1364,40,,,40,,63,,49,,2206
2004-12-26,,848,126,,3353,216,1212,,29,1409,40,,,43,,268,,52,,2715
2005-01-02,,769,186,,3586,174,1175,,42,1330,46,,,47,,562,,78,,2673
2005-01-09,,839,172,,3455,177,1025,,50,1206,54,,,52,,587,,84,,2459
2005-01-16,,895,153,,3313,286,958,,85,1216,46,,,53,,529,,88,,2562
2005-01-23,,1106,160,,3796,476,1046,,192,1187,48,,,62,,250,,119,,2886
2005-01-30,,1643,195,,3895,709,1290,,448,1052,64,,,271,,131,,265,,3429
2005-02-06,,2200,369,,3796,1134,1826,,950,1092,100,,,392,,95,,371,,4037
2005-02-13,,2396,408,,4121,693,2179,,1362,1139,151,,,423,,61,,281,,4065
2005-02-20,,2143,409,,3742,309,2249,,1746,1120,160,,,404,,57,,178,,3540
2005-02-27,,1492,381,,3621,177,1922,,1673,1177,128,,,466,,55,,109,,2875
2005-03-06,,1246,386,,3452,139,1740,,1360,1118,107,,,442,,44,,74,,2554
2005-03-13,,1052,320,,2911,88,1355,,841,1091,96,,,267,,66,,52,,2230
2005-03-20,,840,152,,2817,64,992,,450,1131,63,,,182,,49,,36,,2024
2005-03-27,,623,83,,2509,57,758,,212,1066,40,,,156,,29,,26,,1749
2005-04-03,,629,49,,2337,45,637,,103,981,31,,,98,,18,,26,,1421
2005-04-10,,552,57,,1857,37,589,,52,945,26,,,76,,15,,15,,1186
2005-04-17,,578,53,,1667,26,612,,34,894,23,,,59,,17,,10,,1083
2005-04-24,,619,46,,1609,25,626,,25,858,20,,,49,,16,,12,,1017
2005-05-01,,506,52,,1644,11,553,,14,900,20,,,43,,15,,10,,959
2005-05-08,,589,61,,1457,11,690,,8,854,22,,,36,,19,,8,,902
2005-05-15,,579,75,,1324,13,639,,6,832,19,,,32,,14,,8,,850
2005-05-22,,420,60,,1138,12,549,,5,882,20,,,29,,13,,12,,850
2005-05-29,,518,52,,1054,14,517,,5,843,15,,,25,,8,,9,,826
2005-06-05,,519,47,,858,15,505,,4,740,15,,,22,,9,,6,,751
2005-06-12,,479,40,,807,15,466,,3,710,13,,,20,,9,,7,,761
2005-06-19,,503,32,,878,13,407,,3,713,12,,,18,,8,,6,,740
2005-06-26,,462,25,,874,10,368,,3,654,11,,,17,,8,,4,,684
2005-07-03,,414,17,,732,8,383,,3,727,12,,,16,,7,,5,,711
2005-07-10,,512,16,,703,12,357,,3,690,11,,,14,,6,,7,,712
2005-07-17,,485,22,,664,14,392,,3,748,11,,,13,,7,,6,,697
2005-07-24,,462,19,,586,16,383,,3,664,10,,,12,,6,,5,,695
2005-07-31,,479,21,,619,13,424,,2,690,11,,,12,,6,,6,,693
2005-08-07,,455,23,,720,13,456,,2,698,11,,,12,,6,,7,,710
2005-08-14,,518,18,,621,19,470,,2,641,13,,,12,,7,,6,,739
2005-08-21,,512,20,,696,14,491,,2,641,13,,,12,,8,,6,,787
2005-08-28,,514,28,,652,15,504,,2,630,16,,,12,,10,,10,,772
2005-09-04,,527,34,,731,21,501,,2,811,17,,,14,,9,,10,,881
2005-09-11,,525,41,,937,26,567,,2,786,18,,,23,,10,,9,,1053
2005-09-18,,671,34,,1185,79,718,36,2,855,25,,,37,,16,,13,,1068
2005-09-25,,729,54,,1644,71,845,43,2,845,26,,,61,,20,,17,,1177
2005-10-02,,821,66,,1598,109,962,50,4,822,29,,29,75,,26,1,21,,1364
2005-10-09,,890,74,,1511,110,1058,61,6,877,32,,28,109,,29,1,32,359,1504
2005-10-16,,867,82,,1504,131,1119,85,12,948,24,,30,122,,30,2,49,534,1532
2005-10-23,,793,123,,1660,89,1062,85,16,1027,26,,29,88,,27,2,32,672,1591
2005-10-30,,676,59,,1661,64,963,81,23,1180,31,,41,66,,23,2,54,660,1858
2005-11-06,,836,82,,1405,90,1090,83,45,1294,33,,61,66,,22,2,75,596,1778
2005-11-13,,725,235,,1509,102,1198,75,100,1279,33,,63,60,,29,2,72,540,1811
2005-11-20,,795,158,,1682,113,1248,66,90,1311,39,,76,57,,28,2,92,503,1640
2005-11-27,,827,168,,1585,106,1270,63,77,1304,42,,69,49,,29,2,78,461,1808
2005-12-04,,767,169,,1666,97,1262,59,68,1407,48,,71,53,,24,2,103,453,1806
2005-12-11,,923,144,,1773,123,1318,57,78,1393,46,,67,49,,24,2,135,432,2050
2005-12-18,,786,106,,1894,152,1265,54,118,1472,40,,52,51,,20,2,96,422,2494
2005-12-25,,796,101,,2200,147,1327,52,198,1540,33,,52,50,,32,2,112,411,2915
2006-01-01,190,786,98,,2765,143,1329,55,237,1397,34,10,46,54,,28,2,101,404,2522
2006-01-08,173,873,137,,2182,143,1248,56,349,1383,59,5,41,54,,29,2,70,385,2098
2006-01-15,92,920,116,,1905,130,1148,57,567,1475,41,6,42,51,,23,2,60,366,1998
2006-01-22,89,840,104,,2059,180,1136,61,817,1310,44,4,41,55,,26,3,62,359,2137
2006-01-29,120,824,141,,2287,314,1173,64,933,1222,46,4,59,57,,21,3,61,358,2155
2006-02-05,137,854,215,,2595,321,1158,65,659,1169,62,4,94,55,,34,4,65,337,2221
2006-02-12,111,884,256,,2579,272,1140,73,453,1064,74,4,92,63,,34,4,73,329,2437
2006-02-19,154,845,315,,3396,215,1162,82,261,1137,62,3,76,79,,43,6,71,340,2567
2006-02-26,115,928,227,,3941,159,1202,73,124,1131,69,13,57,93,,58,6,91,343,2564
2006-03-05,141,909,220,,4251,96,1226,74,81,1069,61,11,47,116,,81,6,65,338,2457
2006-03-12,171,1021,197,,3281,83,1103,70,43,1088,60,7,42,150,,71,6,81,370,2170
2006-03-19,174,1054,199,,3245,85,1080,69,27,1038,59,9,40,130,,64,5,76,411,2057
2006-03-26,170,916,139,,2565,45,919,73,16,950,55,8,43,116,,51,4,38,412,1896
2006-04-02,213,851,76,,2186,44,841,69,9,980,33,8,35,115,,33,3,30,412,1574
2006-04-09,288,699,54,,1766,27,747,67,7,880,28,9,32,82,,20,3,12,386,1363
2006-04-16,297,621,44,,1712,23,664,61,7,933,23,9,28,57,,18,2,17,366,1191
2006-04-23,244,562,36,,1528,18,615,52,7,844,20,6,26,43,,17,2,15,343,1090
2006-04-30,318,506,37,,1269,16,558,48,9,855,16,8,21,37,,17,2,19,325,1060
2006-05-07,212,565,38,,1182,16,520,42,7,869,15,10,18,32,,16,1,13,307,1003
2006-05-14,296,570,43,,998,11,496,38,6,909,15,9,16,28,,12,1,10,285,939
2006-05-21,336,553,27,,988,12,497,35,9,894,10,23,15,24,,11,1,7,269,927
2006-05-28,369,522,31,,852,14,561,33,8,823,14,23,14,23,,10,1,12,255,884
2006-06-04,375,539,30,,800,11,585,31,7,776,13,24,15,23,,12,1,6,249,818
2006-06-11,489,529,27,,791,9,489,31,15,815,15,27,14,21,,11,1,7,239,775
2006-06-18,371,488,29,,677,9,424,32,9,780,15,43,12,19,,10,1,5,228,729
2006-06-25,602,513,16,,716,9,369,32,6,770,14,50,12,19,,9,1,4,221,706
2006-07-02,677,496,13,,726,9,345,31,6,660,11,94,11,17,,8,1,4,216,735
2006-07-09,659,454,16,,706,9,356,30,4,759,14,74,10,16,,7,1,5,207,717
2006-07-16,661,499,11,,636,8,318,32,3,753,10,56,10,15,,8,1,4,204,695
2006-07-23,578,483,9,,558,8,305,33,3,774,10,54,9,14,,7,1,2,201,695
2006-07-30,623,374,9,,539,11,320,32,2,737,10,57,9,13,,10,0,4,206,677
2006-08-06,687,385,7,,541,13,373,31,2,790,9,55,8,13,,9,0,4,207,681
2006-08-13,762,449,9,,541,15,420,29,2,713,10,58,8,12,,9,0,5,203,717
2006-08-20,552,517,12,,598,14,457,33,1,731,11,60,9,12,,9,0,6,205,741
2006-08-27,575,520,14,,539,13,534,37,1,786,13,41,10,11,,12,1,9,212,760
2006-09-03,456,505,16,,545,14,576,39,2,856,17,41,15,10,,8,1,14,222,861
2006-09-10,416,481,25,,772,17,617,47,2,909,22,34,20,12,,11,2,14,251,965
2006-09-17,450,607,32,,1056,24,629,53,3,994,22,22,25,22,,15,2,11,278,1101
2006-09-24,348,647,25,,1377,29,629,52,3,970,17,22,26,44,,21,2,13,321,1133
2006-10-01,286,667,27,401,1428,38,657,56,4,988,16,12,25,49,296,26,2,12,343,1178
2006-10-08,259,684,46,433,1447,46,780,57,4,1158,17,11,24,52,301,30,2,20,350,1230
2006-10-15,154,802,49,419,1363,59,881,60,7,1181,21,8,24,61,308,35,2,22,379,1297
2006-10-22,159,656,47,514,1440,47,804,59,8,1163,18,8,27,76,370,27,2,19,443,1445
2006-10-29,150,646,38,587,1497,47,842,57,10,1171,20,12,23,70,374,28,2,34,476,1577
2006-11-05,135,781,53,604,1716,54,966,57,16,1319,23,7,23,57,383,28,3,33,525,1636
2006-11-12,177,749,52,570,1675,50,994,67,23,1372,23,6,22,50,343,30,3,52,497,1758
2006-11-19,117,845,72,566,1722,63,972,79,32,1409,22,10,21,47,326,30,3,42,465,1595
2006-11-26,97,785,74,576,1906,71,936,74,34,1464,26,6,21,46,336,30,2,51,464,1889
2006-12-03,111,693,70,657,2217,86,954,72,33,1615,30,4,21,46,317,28,2,64,443,1886
2006-12-10,95,803,65,826,2565,98,1007,77,29,1725,32,3,20,45,324,41,2,70,421,2079
2006-12-17,100,791,63,807,2910,153,1020,94,25,1654,29,5,20,42,352,33,2,58,418,2305
2006-12-24,145,793,81,842,3568,220,1117,93,20,1740,32,10,18,36,377,65,2,104,427,2547
2006-12-31,127,858,74,878,4467,227,1187,90,18,1617,37,6,22,37,367,91,3,130,425,2419
2007-01-07,115,964,97,1510,3325,177,1081,105,19,1987,36,3,28,41,330,105,3,119,407,2082
2007-01-14,83,869,94,3674,2898,178,915,94,30,3041,30,4,36,49,316,129,3,102,372,1968
2007-01-21,78,1070,125,4722,3229,217,1014,97,54,2911,28,2,55,54,331,142,3,90,365,2182
2007-01-28,103,1250,254,3057,3320,427,1129,141,100,2538,41,2,121,67,345,230,4,172,418,2409
2007-02-04,95,1348,487,1839,3882,560,1355,250,200,2229,44,1,183,136,377,225,7,219,775,2806
2007-02-11,100,1453,1011,1349,3964,458,1595,218,309,2057,50,2,240,141,477,132,7,197,1107,2970
2007-02-18,114,1607,967,979,3770,201,2019,186,464,2096,82,4,303,194,786,81,13,258,1175,2941
2007-02-25,106,1469,577,699,3526,78,1944,152,660,1939,99,4,167,216,1083,44,12,142,1111,2641
2007-03-04,134,1207,196,527,3020,43,1629,108,774,1777,85,7,93,232,947,31,19,97,708,2424
2007-03-11,146,1053,102,453,2364,26,1298,88,784,1678,65,4,63,159,735,22,12,55,517,2086
2007-03-18,181,901,94,527,1977,31,1161,72,948,1555,43,6,46,116,540,28,7,67,443,1893
2007-03-25,186,783,67,560,1693,23,985,61,692,1485,38,5,33,87,429,26,5,41,379,1604
2007-04-01,199,686,39,479,1542,23,825,53,311,1159,30,10,26,61,382,26,3,22,329,1375
2007-04-08,241,643,44,463,1802,17,774,52,187,1207,31,9,23,51,295,28,2,20,299,1372
2007-04-15,256,631,37,468,1699,12,670,51,112,1174,23,10,19,40,270,20,2,17,297,1243
2007-04-22,244,609,39,444,1650,6,548,47,89,1112,19,13,18,36,284,16,2,11,323,1080
2007-04-29,203,524,30,405,1407,8,472,43,47,1081,16,11,19,32,316,14,1,5,304,980
2007-05-06,309,544,34,396,1308,8,502,36,21,1040,14,8,17,26,292,17,1,7,287,931
2007-05-13,276,512,32,433,1297,8,515,32,12,1071,14,19,16,22,284,15,1,7,250,878
2007-05-20,420,563,33,423,1123,10,488,30,8,1059,14,13,17,21,246,15,1,6,226,850
2007-05-27,417,505,19,407,1040,12,476,28,6,1010,13,21,15,19,205,12,1,6,210,840
2007-06-03,443,513,23,400,973,11,424,26,4,990,13,18,15,16,201,13,1,9,194,774
2007-06-10,534,521,20,415,912,10,404,26,3,949,13,20,16,16,171,13,1,8,190,764
2007-06-17,595,461,13,410,815,11,387,24,3,873,13,30,14,14,153,8,1,5,190,748
2007-06-24,734,493,12,363,727,10,428,22,2,815,12,30,13,13,145,8,1,6,194,720
2007-07-01,1064,453,11,336,638,9,456,21,2,810,11,51,11,11,139,8,1,7,196,708
2007-07-08,1242,535,17,284,585,8,510,20,2,830,12,45,10,11,128,5,1,7,197,701
2007-07-15,1381,486,18,279,609,8,440,18,2,847,10,63,10,10,137,8,1,8,195,705
2007-07-22,1279,516,16,274,609,9,418,19,2,795,10,74,9,10,137,8,1,7,195,699
2007-07-29,1301,456,12,262,607,7,425,18,2,822,8,67,9,9,129,6,1,8,193,705
2007-08-05,1453,462,10,252,586,13,393,20,2,820,10,63,8,9,153,6,1,4,209,723
2007-08-12,1479,431,10,274,594,11,383,21,2,782,10,67,9,8,152,8,1,4,237,744
2007-08-19,1199,486,13,276,589,11,419,21,2,731,10,60,10,8,158,9,1,5,260,763
2007-08-26,1208,463,13,312,713,8,459,24,2,809,11,70,13,8,155,8,1,7,272,809
2007-09-02,578,529,14,294,773,12,557,30,2,957,15,53,17,9,159,7,1,11,300,903
2007-09-09,540,564,24,300,919,15,673,43,2,1070,18,32,19,12,180,9,2,15,367,957
2007-09-16,547,739,38,273,1201,29,814,80,2,1165,22,32,20,26,288,13,2,18,460,1041
2007-09-23,518,756,52,339,1452,66,838,95,2,1160,24,24,22,56,365,19,2,20,460,1082
2007-09-30,478,840,64,375,1638,74,856,82,3,1183,25,14,25,55,370,27,2,30,416,1180
2007-10-07,294,796,67,451,1487,77,1009,74,6,1255,26,15,23,49,362,30,3,25,428,1210
2007-10-14,306,820,63,538,1496,75,996,69,8,1198,21,15,29,46,364,35,3,28,516,1326
2007-10-21,237,806,82,566,1561,99,1060,61,12,1236,22,9,31,53,346,29,3,32,462,1377
2007-10-28,200,712,66,516,1739,75,976,59,19,1329,27,11,30,59,293,30,3,36,397,1512
2007-11-04,184,749,84,586,1713,115,1088,62,29,1423,25,9,28,60,301,37,3,53,480,1594
2007-11-11,187,807,85,612,1748,121,1068,70,62,1429,27,7,31,52,324,34,3,57,500,1644
2007-11-18,142,825,112,614,1915,110,1159,80,85,1516,32,5,38,45,281,45,3,49,512,1465
2007-11-25,145,882,135,762,2009,139,1166,86,112,1514,33,8,43,49,285,52,3,58,465,1700
2007-12-02,124,897,139,785,2052,162,1139,94,196,1527,39,5,44,48,287,61,3,68,497,1632
2007-12-09,103,1010,118,750,2312,187,1183,103,234,1717,41,5,43,47,418,78,3,73,491,1618
2007-12-16,138,1052,80,857,2723,258,1275,125,273,1718,37,4,35,50,471,111,3,95,471,1709
2007-12-23,120,1025,119,1142,3135,297,1297,216,309,1854,51,3,38,47,390,292,4,164,495,1954
2007-12-30,127,1241,150,1590,4274,360,1509,265,189,1649,62,8,40,48,392,336,4,317,398,2278
2008-01-06,125,1395,202,1449,3866,406,1510,338,227,1948,74,8,45,67,399,302,5,331,440,2199
2008-01-13,93,1638,181,1827,3085,603,1256,533,283,2907,62,4,51,82,361,190,4,281,446,2230
2008-01-20,94,1750,197,2136,3369,531,1204,531,355,2579,63,6,59,109,476,113,5,257,512,2921
2008-01-27,95,1660,193,1848,3513,546,1329,390,415,2218,76,6,81,98,484,84,6,216,621,3880
2008-02-03,97,1512,179,1546,3811,487,1581,291,331,1924,83,4,89,109,639,72,8,203,784,4928
2008-02-10,110,1234,258,1179,3792,372,1716,191,243,1691,94,6,90,97,700,74,10,203,879,5352
2008-02-17,163,1117,320,1127,4203,252,1726,185,191,1699,89,11,90,136,947,66,11,152,903,5805
2008-02-24,183,1015,282,1186,4594,123,1493,139,154,1615,70,8,67,126,1014,42,9,104,785,5050
2008-03-02,196,897,219,920,4423,86,1225,114,115,1524,55,8,57,128,931,29,8,75,616,4059
2008-03-09,204,849,165,1109,4442,48,1133,91,82,1380,45,10,51,99,807,23,7,66,550,3229
2008-03-16,156,810,129,989,3595,47,957,75,53,1203,35,10,47,85,649,24,5,52,478,2592
2008-03-23,208,817,99,879,3723,48,915,84,26,1165,39,11,43,71,559,22,5,59,403,2172
2008-03-30,230,867,79,990,3670,43,817,89,14,1091,41,8,49,78,512,18,5,53,367,1776
2008-04-06,296,842,79,757,3279,31,765,67,12,1054,35,10,47,63,489,15,4,31,315,1508
2008-04-13,304,773,68,604,3103,31,750,51,12,1001,31,10,50,49,382,14,3,28,300,1331
2008-04-20,316,711,69,497,2436,20,776,44,11,1006,29,11,45,40,333,15,3,20,281,1180
2008-04-27,347,650,55,427,1879,13,686,44,9,905,20,15,41,33,364,10,2,13,279,1046
2008-05-04,351,645,53,379,1670,11,626,45,6,880,17,17,37,30,281,11,2,14,250,947
2008-05-11,360,564,32,352,1579,9,493,38,4,851,13,17,30,26,257,10,2,9,237,922
2008-05-18,447,539,30,347,1297,9,478,32,5,849,12,25,25,23,243,10,1,8,219,873
2008-05-25,421,517,23,332,1178,11,417,30,3,849,11,32,30,21,254,9,1,7,210,828
2008-06-01,406,525,25,360,969,13,380,29,3,790,12,28,35,21,245,9,1,4,217,770
2008-06-08,423,569,24,346,869,13,407,28,3,757,13,37,30,19,223,7,1,7,209,727
2008-06-15,453,592,23,360,840,12,447,27,3,717,13,60,21,17,204,6,1,9,201,713
2008-06-22,491,538,20,351,798,9,439,24,2,703,15,51,17,15,192,6,1,9,190,662
2008-06-29,564,520,18,341,724,6,429,26,2,681,13,66,15,14,205,6,1,6,189,646
