Google Flu Trends weekly influenza activity estimates for the world
Copyright 2009 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row
Data for the current week will be updated each day until Saturday (Pacific Time)
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends)

Date,Australia,Austria,Belgium,Bulgaria,Canada,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Russia,Spain,Sweden,Switzerland,Ukraine,United States
2009-01-04,95,1681,309,881,3058,603,2215,173,381,1441,126,8,230,120,421,397,15,355,410,2133
2009-01-11,66,2138,854,887,2656,791,2195,160,640,1975,161,7,230,179,372,298,18,673,393,1971
2009-01-18,45,2602,1348,1118,2892,760,2266,267,1024,2092,182,4,201,357,392,166,24,830,434,2191
2009-01-25,39,2507,1118,1307,3516,427,2205,321,1319,1925,137,5,164,432,488,93,25,732,482,2555
2009-02-01,40,1941,892,1183,3988,192,2070,370,981,1712,101,4,131,347,565,51,21,427,590,3116
2009-02-08,45,1434,465,976,4090,97,1745,377,635,1620,64,4,101,228,670,34,14,235,607,3484
2009-02-15,47,1176,271,883,4435,63,1537,351,371,1578,44,6,108,143,837,33,10,147,681,3499
2009-02-22,81,1095,140,881,4432,50,1371,323,335,1503,39,8,88,97,1060,34,6,100,760,3447
2009-03-01,117,1141,111,959,4125,29,1275,369,344,1542,38,13,52,94,1206,30,6,108,753,3220
2009-03-08,96,960,83,811,3584,26,1079,272,364,1443,31,10,47,76,1091,23,4,98,717,2711
2009-03-15,102,842,72,767,3220,18,946,207,343,1257,29,13,53,66,815,16,3,69,618,2348
2009-03-22,112,809,59,799,2746,21,883,167,190,1185,24,11,45,58,663,15,3,64,523,2021
2009-03-29,124,722,53,839,2502,16,770,144,109,1102,20,12,51,46,447,12,3,51,431,1699
2009-04-05,129,616,57,600,2204,11,638,93,80,956,19,13,42,39,352,14,3,22,390,1462
2009-04-12,156,584,40,541,2118,10,582,68,70,913,18,10,32,33,354,13,2,21,373,1378
2009-04-19,213,566,38,574,2048,7,555,62,57,998,14,10,32,29,314,13,2,18,378,1381
2009-04-26,210,665,121,715,2755,42,535,160,139,1207,30,13,40,157,527,43,3,31,449,2129
2009-05-03,185,624,64,553,2673,34,525,98,120,870,20,15,53,88,436,26,4,19,355,1885
2009-05-10,259,597,68,451,2356,23,518,66,112,876,15,20,46,50,368,16,3,12,289,1818
2009-05-17,274,516,63,442,2121,14,474,64,232,801,12,20,49,39,289,18,2,9,259,1892
2009-05-24,393,517,36,435,1988,9,456,54,104,758,9,26,39,30,329,18,2,7,244,1760
2009-05-31,421,510,34,398,2139,9,434,59,44,794,9,30,29,25,255,19,2,5,243,1743
2009-06-07,526,514,23,429,2637,11,424,55,38,840,13,47,27,22,227,16,2,7,220,1907
2009-06-14,559,511,33,377,2223,14,422,49,34,787,17,38,26,20,225,10,2,7,216,1895
2009-06-21,514,503,20,377,1753,13,396,47,23,740,15,62,25,19,190,8,2,6,201,1686
2009-06-28,664,480,15,306,1422,15,337,46,21,702,12,88,24,18,179,21,2,5,187,1490
2009-07-05,812,482,53,323,1064,13,346,46,22,685,12,134,24,18,162,24,2,8,197,1337
2009-07-12,587,499,134,393,1036,21,351,49,25,705,16,107,28,17,200,64,2,13,214,1278
2009-07-19,560,482,83,327,885,45,393,67,26,689,21,78,62,16,225,105,7,21,225,1257
2009-07-26,497,503,103,337,950,50,417,76,36,669,28,73,133,16,266,78,5,34,254,1324
2009-08-02,454,491,105,322,873,35,364,65,61,663,32,51,132,17,261,62,4,35,271,1276
2009-08-09,430,467,79,405,901,32,359,74,95,643,27,58,113,18,265,95,4,32,299,1302
2009-08-16,352,470,57,390,1001,41,336,87,180,653,24,66,187,18,248,97,7,23,323,1481
2009-08-23,330,489,68,393,1088,91,363,79,269,677,24,71,232,20,254,147,12,25,332,1915
2009-08-30,296,466,67,405,1284,125,414,104,350,810,27,62,232,21,311,118,28,27,356,2498
2009-09-06,249,576,116,350,1567,267,521,169,370,1003,31,55,198,25,381,64,25,29,438,3361
2009-09-13,223,598,150,371,1976,358,607,247,373,1135,37,41,119,48,386,46,11,27,484,3790
2009-09-20,165,687,133,536,2921,243,650,300,368,1188,35,32,96,75,479,54,7,23,562,4254
2009-09-27,167,760,151,770,3185,256,739,283,336,1178,32,31,84,68,473,60,4,25,590,4926
2009-10-04,161,877,206,922,3747,177,850,255,528,1175,31,29,80,54,445,72,6,29,565,5424
2009-10-11,181,812,335,1028,5399,137,929,273,867,1131,34,32,92,50,488,67,7,21,564,6037
2009-10-18,140,828,603,1318,10044,187,980,263,1018,1106,45,18,289,58,692,89,8,31,671,7112
2009-10-25,116,922,930,2078,19059,285,1052,249,1030,1123,79,18,675,79,1051,136,10,40,868,6533
2009-11-01,94,1108,584,3419,28851,225,1340,410,979,1242,102,19,730,203,1605,168,21,68,1240,5722
2009-11-08,75,1443,363,3649,13697,290,1618,613,934,1307,118,14,448,251,1920,153,20,134,1062,4468
2009-11-15,60,1524,212,2037,7016,732,1543,805,759,1334,99,12,245,486,1877,170,20,194,716,3587
2009-11-22,47,1418,138,1461,3982,1585,1241,752,847,1370,61,10,128,410,1826,89,10,185,513,2655
2009-11-29,41,1229,108,1214,2894,1701,1023,922,606,1335,35,6,93,273,1059,48,6,126,459,2560
2009-12-06,45,1074,100,1114,2357,1180,934,942,456,1376,34,7,93,194,771,34,4,116,654,2190
2009-12-13,31,1036,70,1116,2329,790,929,593,358,1398,24,6,53,124,639,22,4,83,919,2032
2009-12-20,33,857,61,1246,2067,329,845,464,344,1360,16,5,46,83,586,16,2,70,889,2055
2009-12-27,33,768,54,1165,2450,240,916,385,231,1478,17,5,37,67,477,27,2,61,759,2199
2010-01-03,33,735,76,941,2732,237,895,282,255,1435,19,5,40,59,464,16,2,55,552,2169
2010-01-10,25,735,53,899,2098,139,783,257,191,1518,17,3,32,51,405,13,2,35,414,1916
2010-01-17,28,757,51,736,2095,75,758,241,165,1713,18,3,51,44,369,10,2,31,397,1860
2010-01-24,23,704,59,684,2200,66,858,260,116,1781,18,2,42,40,422,8,2,31,398,1861
2010-01-31,25,757,54,682,2394,51,881,247,72,1527,20,2,42,36,409,10,3,34,385,1910
2010-02-07,25,796,60,705,2614,45,937,240,48,1567,20,2,39,34,453,9,3,38,403,1944
2010-02-14,40,844,41,658,2537,33,974,250,33,1599,19,3,59,35,471,8,2,47,417,2000
2010-02-21,50,854,52,715,2854,23,1024,220,24,1627,17,5,48,33,429,8,2,48,391,1968
2010-02-28,50,742,44,632,2966,17,872,160,13,1739,14,5,52,31,364,6,2,30,361,1888
2010-03-07,62,702,52,616,2938,18,837,160,12,1733,13,6,51,30,349,6,2,28,368,1832
