week,fever,flu,sdate
07/22/2012,2,1,22jul2012
07/29/2012,2,1,29jul2012
08/05/2012,2,1,05aug2012
08/12/2012,2,1,12aug2012
08/19/2012,2,1,19aug2012
08/26/2012,2,1,26aug2012
09/02/2012,2,1,02sep2012
09/09/2012,2,1,09sep2012
09/16/2012,2,2,16sep2012
09/23/2012,2,2,23sep2012
09/30/2012,2,2,30sep2012
10/07/2012,2,3,07oct2012
10/14/2012,4,2,14oct2012
10/21/2012,2,2,21oct2012
10/28/2012,2,2,28oct2012
11/04/2012,2,2,04nov2012
11/11/2012,2,2,11nov2012
11/18/2012,2,2,18nov2012
11/25/2012,2,2,25nov2012
12/02/2012,2,3,02dec2012
12/09/2012,2,3,09dec2012
12/16/2012,3,3,16dec2012
12/23/2012,3,4,23dec2012
12/30/2012,3,5,30dec2012
01/06/2013,3,15,06jan2013
01/13/2013,3,11,13jan2013
01/20/2013,3,6,20jan2013
01/27/2013,3,4,27jan2013
02/03/2013,3,3,03feb2013
02/10/2013,2,2,10feb2013
02/17/2013,2,2,17feb2013
02/24/2013,2,2,24feb2013
03/03/2013,2,2,03mar2013
03/10/2013,3,2,10mar2013
03/17/2013,2,2,17mar2013
03/24/2013,2,1,24mar2013
03/31/2013,2,1,31mar2013
04/07/2013,2,1,07apr2013
04/14/2013,2,1,14apr2013
04/21/2013,2,1,21apr2013
04/28/2013,2,1,28apr2013
05/05/2013,2,1,05may2013
05/12/2013,2,1,12may2013
05/19/2013,2,1,19may2013
05/26/2013,2,1,26may2013
06/02/2013,2,1,02jun2013
06/09/2013,2,1,09jun2013
06/16/2013,2,1,16jun2013
06/23/2013,2,1,23jun2013
06/30/2013,2,0,30jun2013
07/07/2013,2,0,07jul2013
07/14/2013,2,0,14jul2013
07/21/2013,2,1,21jul2013
07/28/2013,2,1,28jul2013
08/04/2013,2,1,04aug2013
08/11/2013,2,1,11aug2013
08/18/2013,2,1,18aug2013
08/25/2013,2,1,25aug2013
09/01/2013,2,1,01sep2013
09/08/2013,2,1,08sep2013
09/15/2013,2,2,15sep2013
09/22/2013,2,2,22sep2013
09/29/2013,2,3,29sep2013
10/06/2013,2,3,06oct2013
